Name,Team,Pos
Donte DiVincenzo,MIL,PG-SG
Dorian Finney-Smith,DAL,SF-PF
Mason Plumlee,DET,PF-C
Isaiah Stewart,DET,PF-C
Bruce Brown,BKN,SG
Anthony Davis,LAL,PF-C
Marcus Morris,LAC,PF-C
Marcus Smart,BOS,PG-SG
Kendrick Nunn,MIA,PG-SG
Facundo Campazzo,DEN,PG
Kyle Kuzma,LAL,SF-PF
Gordon Hayward,CHA,SG-SF
Kentavious Caldwell-Pope,LAL,PG-SG
Kemba Walker,BOS,PG
Cameron Payne,PHO,PG-SG
Naz Reid,MIN,C
Jalen Brunson,DAL,PG-SG
O.G. Anunoby,TOR,SF-PF
Reggie Bullock,NYK,SG-SF
Danilo Gallinari,ATL,SF-PF
Saddiq Bey,DET,SF
Jeff Green,BKN,SF-PF-C
Josh Richardson,DAL,SG-SF
Daniel Theis,CHI,PF-C
Patrick Williams,CHI,SF-PF
Derrick Rose,NYK,PG-SG
Derrick Favors,UTA,PF-C
Andre Drummond,LAL,C
Brandon Clarke,MEM,SF-PF
Pat Connaughton,MIL,SG-SF
Devonte' Graham,CHA,PG-SG
Evan Fournier,BOS,SG-SF
Keldon Johnson,SAS,SF-PF
Desmond Bane,MEM,PG-SG
Daniel Gafford,WAS,C
Doug McDermott,IND,SF-PF
Will Barton,DEN,SG-SF
Shai Gilgeous-Alexander,OKC,PG-SG-SF
Rudy Gay,SAS,SF-PF
Tyler Herro,MIA,PG-SG-SF
Raul Neto,WAS,PG
Eric Bledsoe,NOR,PG-SG
Lou Williams,ATL,PG-SG
Christian Wood,HOU,PF-C
Kelly Oubre Jr.,GSW,SG-SF-PF
Cameron Johnson,PHO,SF-PF
Rui Hachimura,WAS,SF-PF
Shake Milton,PHI,PG-SG
Kent Bazemore,GSW,SG-SF
De'Anthony Melton,MEM,PG-SG
Paul Millsap,DEN,PF-C
Isaiah Roby,OKC,PF-C
Wendell Carter Jr.,ORL,C
Terance Mann,LAC,SF
D'Angelo Russell,MIN,PG-SG
Josh Jackson,DET,SG-SF
Robin Lopez,WAS,C
Khem Birch,TOR,PF-C
Cory Joseph,DET,PG
DeAndre Jordan,BKN,C
Kenrich Williams,OKC,SF-PF
Talen Horton-Tucker,LAL,SG-SF
Dwight Howard,PHI,C
Patty Mills,SAS,PG
Davis Bertans,WAS,PF-C
Goran Dragic,MIA,PG-SG
Blake Griffin,BKN,PF-C
Jusuf Nurkic,POR,C
Jarred Vanderbilt,MIN,SF-PF-C
Aaron Gordon,DEN,SF-PF
Tomas Satoransky,CHI,PG-SG
Gary Trent Jr.,TOR,SG-SF
Tyus Jones,MEM,PG
Lauri Markkanen,CHI,PF-C
Grayson Allen,MEM,SG-SF
Alec Burks,NYK,SG-SF
Terrence Ross,ORL,SG-SF
Marc Gasol,LAL,C
Juan Toscano-Anderson,GSW,SF-PF
Andre Iguodala,MIA,SG-SF
Steven Adams,NOR,C
John Wall,HOU,PG
Monte Morris,DEN,PG-SG
JaMychal Green,DEN,PF-C
Jaden McDaniels,MIN,PF
Immanuel Quickley,NYK,PG
Bryn Forbes,MIL,PG-SG
Maxi Kleber,DAL,PF-C
Taj Gibson,NYK,PF-C
Alex Caruso,LAL,PG-SG
Xavier Tillman,MEM,PF-C
Isaac Okoro,CLE,SG-SF
Theo Maledon,OKC,PG
Serge Ibaka,LAC,PF-C
Josh Hart,NOR,SG-SF
Luke Kennard,LAC,SG-SF
Payton Pritchard,BOS,PG
Malik Beasley,MIN,PG-SG
Landry Shamet,BKN,PG-SG
Alex Len,WAS,PF-C
Jaxson Hayes,NOR,C
Cedi Osman,CLE,SF-PF
Dwight Powell,DAL,PF-C
Svi Mykhailiuk,OKC,SF
Derrick White,SAS,PG-SG
Terence Davis,SAC,SG-SF
Larry Nance Jr.,CLE,PF-C
Tristan Thompson,BOS,PF-C
Cole Anthony,ORL,PG
Jordan Poole,GSW,PG-SG
Garrett Temple,CHI,PG-SG
Furkan Korkmaz,PHI,SG-SF
Patrick Beverley,LAC,PG-SG
Derrick Jones,POR,SG-SF
Sterling Brown,HOU,SG-SF
Cody Zeller,CHA,C
Kenyon Martin Jr.,HOU,SF
Georges Niang,UTA,SF-PF
Victor Oladipo,MIA,SG-SF
Lonnie Walker,SAS,SG-SF
Darius Bazley,OKC,SF-PF
Luguentz Dort,OKC,SG-SF
Nickeil Alexander-Walker,NOR,SG-SF
Damion Lee,GSW,SG-SF
Dwayne Bacon,ORL,SG
Rajon Rondo,LAC,PG
Torrey Craig,PHO,SG-SF
Dean Wade,CLE,PG-PF-C
P.J. Tucker,MIL,PF-C
Anfernee Simons,POR,PG-SG
Dario Saric,PHO,PF-C
Chuma Okeke,ORL,PF
Bismack Biyombo,CHA,C
Elfrid Payton,NYK,PG
Mo Bamba,ORL,C
Moses Brown,OKC,C
Jeremy Lamb,IND,SG-SF
Tyrese Maxey,PHI,PG-SG
DeMarcus Cousins,LAC,PF-C
Kevon Looney,GSW,PF-C
Willie Cauley-Stein,DAL,PF-C
Al Horford,OKC,PF-C
D.J. Augustin,HOU,PG
Mitchell Robinson,NYK,C
James Johnson,NOR,PF-C
JaVale McGee,DEN,C
Aaron Holiday,IND,PG
DeAndre' Bembry,TOR,SF-PF
Drew Eubanks,SAS,PF-C
Josh Okogie,MIN,SG-SF
Stanley Johnson,TOR,SG-SF-PF
Ish Smith,WAS,PG
Hamidou Diallo,DET,SG-SF
Solomon Hill,ATL,SG-SF
Devin Vassell,SAS,SG
Jordan McLaughlin,MIN,PG
Willy Hernangomez,NOR,C
Jeff Teague,MIL,PG-SG
Brad Wanamaker,CHA,PG-SG
Taurean Prince,CLE,SF-PF
Tony Bradley,OKC,C
Edmond Sumner,IND,PG-SG
Markieff Morris,LAL,PF-C
Onyeka Okongwu,ATL,PF-C
Grant Williams,BOS,SF-PF
Marvin Bagley III,SAC,PF-C
Wayne Ellington,DET,SG-SF
James Ennis,ORL,SG-SF
Deni Avdija,WAS,SG-SF
Denzel Valentine,CHI,SG-SF
Nicolas Claxton,BKN,C
Gorgui Dieng,SAS,PF-C
Malik Monk,CHA,PG-SG
Aleksej Pokusevski,OKC,SF
Trevor Ariza,MIA,SG-SF
Goga Bitadze,IND,C
Jalen McDaniels,CHA,PF-C
P.J. Dozier,DEN,PG-SG
Austin Rivers,DEN,PG-SG
Trey Burke,DAL,PG
Malachi Flynn,TOR,PG
Wesley Matthews,LAL,SG-SF
De'Andre Hunter,ATL,SF-PF
Moritz Wagner,ORL,PF-C
Garrison Mathews,WAS,SG-SF
James Wiseman,GSW,C
Aron Baynes,TOR,C
Ty Jerome,OKC,PG-SG
George Hill,PHI,PG-SG
LaMarcus Aldridge,FA,PF-C
Isaiah Hartenstein,CLE,PF
Kira Lewis,NOR,PG
Eric Gordon,HOU,SG-SF
Yuta Watanabe,TOR,SF-PF
Tony Snell,ATL,SG-SF
Kevin Porter,HOU,SG-SF
Timothe Luwawu-Cabarrot,BKN,SG-SF
Saben Lee,DET,PG
Frank Kaminsky,PHO,C
Oshae Brissett,IND,SF-PF
Gary Harris,ORL,SG-SF
Jaylen Nowell,MIN,SG
Obi Toppin,NYK,SF-PF
John Konchar,MEM,SG
Cody Martin,CHA,SG-SF
Mike Muscala,OKC,PF-C
David Nwaba,HOU,SG-SF
Jevon Carter,PHO,PG
Kevin Love,CLE,PF-C
Hassan Whiteside,SAC,PF-C
Ben McLemore,LAL,SG-SF
Jaren Jackson Jr.,MEM,PF-C
Moe Harkless,SAC,SF-PF
R.J. Hampton,ORL,PG
Mychal Mulder,GSW,PG
Jake Layman,MIN,SF-PF
Danuel House,HOU,SF-PF
Caleb Martin,CHA,SG-SF
Frank Jackson,DET,PG
Damian Jones,SAC,C
Otto Porter,ORL,SF-PF
Cam Reddish,ATL,SG-SF-PF
Naji Marshall,NOR,SF
Mike Scott,PHI,SF-PF
Aaron Nesmith,BOS,SG-SF
J.J. Redick,DAL,SG
Killian Hayes,DET,PG-SG
Nemanja Bjelica,MIA,PF
Juan Hernangomez,MIN,PF-C
Chasson Randle,ORL,PG
Chimezie Metu,SAC,PF
Eric Paschall,GSW,SF-PF-C
Michael Carter-Williams,ORL,PG-SG
Semi Ojeleye,BOS,SF-PF
Precious Achiuwa,MIA,SF-PF
Dylan Windler,CLE,SF
Damyean Dotson,CLE,SG
Rodney Hood,TOR,SG-SF
Dennis Smith Jr.,DET,PG
Gabe Vincent,MIA,PG
Nassir Little,POR,SF
Tyler Johnson,BKN,PG-SG
Sekou Doumbouya,DET,SF-PF
Justin Jackson,MIL,SF-PF
Patrick Patterson,LAC,PF-C
Javonte Green,CHI,PG
Thanasis Antetokounmpo,MIL,SF
D.J. Wilson,HOU,PF
Armoni Brooks,HOU,PG
Kelan Martin,IND,SF-PF
Luke Kornet,BOS,C
Freddie Gillespie,TOR,SF
Dewayne Dedmon,MIA,C
Avery Bradley,HOU,SG-SF
Al-Farouq Aminu,CHI,SF-PF
Lamar Stevens,CLE,SF
Boban Marjanovic,DAL,C
Jordan Nwora,MIL,SF
E'Twaun Moore,PHO,PG-SG
DaQuan Jeffries,SAS,PG
Max Strus,MIA,SG
Ed Davis,MIN,PF-C
Troy Brown Jr,CHI,SG-SF
Brandon Goodwin,ATL,PG
Kevin Knox,NYK,SF-PF
Abdel Nader,PHO,SF-PF
Nicolo Melli,DAL,PF-C
Alize Johnson,BKN,SF-PF
Gary Clark,PHI,SF-PF
Langston Galloway,PHO,PG-SG
Miye Oni,UTA,SG
Zeke Nnaji,DEN,PF
Harry Giles,POR,PF-C
Nico Mannion,GSW,PG
Skylar Mays,ATL,PG-SG
Tremont Waters,BOS,PG
Thomas Bryant,WAS,C
Chandler Hutchison,WAS,SF-PF
Paul Reed,PHI,SF
Shaq Harrison,DEN,PG-SG-SF
Jarrett Culver,MIN,PG-SG
Jahlil Okafor,DET,C
Trent Forrest,UTA,SG
Justin Patton,FA,C
Ryan Arcidiacono,CHI,PG
Darius Miller,FA,SG-SF
Justise Winslow,MEM,PF
Isaiah Joe,PHI,SG
Anthony Lamb,HOU,SF
Mfiondu Kabengele,CLE,C
Tyler Cook,DET,PF-C
Anthony Gill,WAS,SF
Brodric Thomas,CLE,SG
Isaac Bonga,WAS,SF-PF
Wesley Iwundu,NOR,SG-SF
Vlatko Cancar,DEN,SF-PF
Josh Green,DAL,SG-SF
Jaylen Hoard,OKC,SF
Sam Merrill,MIL,SG
Nathan Knight,ATL,PF-C
Khyri Thomas,HOU,SG
Paul Watson,TOR,PG-SF-PF
Amir Coffey,LAC,SF
JaKarr Sampson,IND,SF-PF
Reggie Perry,BKN,PF
Glenn Robinson III,FA,SG-SF
KZ Okpala,MIA,SF
Jabari Parker,BOS,SF-PF
Mike James,BKN,PG
Chris Chiozza,BKN,PG
Trey Lyles,SAS,PF-C
Donta Hall,ORL,SF
Wenyen Gabriel,NOR,PF
Frank Ntilikina,NYK,PG-SG
Romeo Langford,BOS,SG
Luka Samanic,SAS,PF
Tre Jones,SAS,PG
Ersan Ilyasova,UTA,SF-PF
Jalen Harris,TOR,SG
Carsen Edwards,BOS,PG
Rodney McGruder,DET,SG-SF
Keita Bates-Diop,SAS,SF-PF
Matt Thomas,UTA,PG-SG
